ra,dec,class,subclass,z,plate,mjd,fiberID
167.08697,26.158274,STAR,F0IV (81937),-3.677431e-05,6413,56336,522
167.15977,26.108533,STAR,CV,0.0003387709,6413,56336,524
167.06732,25.671709,STAR,B8III (220575),-0.0003897061,6413,56336,537
167.46448,26.905939,STAR,WDcooler,-0.0002718351,6413,56336,546
167.45162,26.572239,STAR,F0IV (81937),0.0003592158,6413,56336,548
167.00418,26.449162,STAR,F3/F5V (30743),6.250553e-05,6413,56336,560
167.3888,25.94575,STAR,CV,0.0001467642,6413,56336,562
167.49975,26.312612,STAR,O8e (188001),-9.779184e-06,6413,56336,564
167.51696,25.716056,STAR,A4V (136729),-0.0003210349,6413,56336,580
167.63681,26.488116,STAR,F8V (G_243-63),8.160308e-05,6413,56336,590
167.57358,26.34676,STAR,A1III (225180),7.542221e-05,6413,56336,600
167.74132,26.135759,STAR,F3/F5V (30743),-0.0001795985,6413,56336,612
334.42655,3.28901,STAR,CV,-0.0007480718,11341,58428,100
334.2053,3.3101213,STAR,WDcooler,-0.0002926668,11341,58428,130
334.1723,3.327734,STAR,G5Iab: (20123),0.003807842,11341,58428,137
333.97591,3.0510181,STAR,F3/F5V (30743),-0.0001002037,11341,58428,150
334.02009,3.238477,STAR,K0V (10780),8.921946e-05,11341,58428,155
333.69986,2.9494825,STAR,CV,-0.001042823,11341,58428,181
333.747,2.9784717,STAR,M4.5:III (123657),0.0001152329,11341,58428,185
333.84621,2.9819184,STAR,M5III (221615),0.0001634551,11341,58428,191
231.26821,13.926075,STAR,WDcooler,-0.0005352147,5491,56034,84
231.44519,13.913624,STAR,A1V (95418),-0.0003653863,5491,56034,88
231.35522,14.176425,STAR,A2II (39866),-0.000208148,5491,56034,94
231.23029,14.361802,STAR,F3/F5V (30743),0.0001914373,5491,56034,102
231.33882,14.337967,STAR,WDhotter,-0.0002821649,5491,56034,104
231.28407,14.473033,STAR,K3V (32147),3.705813e-05,5491,56034,106
231.32772,14.813065,STAR,M4.5:III (123657),-6.977302e-05,5491,56034,111
231.25442,14.620435,STAR,K3Iab: (4817),0.0008019713,5491,56034,112
231.23215,14.913898,STAR,F0II (25291),-0.0006031402,5491,56034,120
231.06413,13.467668,STAR,CV,-0.002622982,5491,56034,124
231.04591,14.264419,STAR,K3V (32147),-6.075627e-05,5491,56034,138
231.22844,14.276275,STAR,M5III (221615),-1.633179e-05,5491,56034,139
231.05132,14.562237,STAR,A2II (39866),-0.0005684862,5491,56034,143
231.12269,14.556156,STAR,F2III (89254),0.0001012614,5491,56034,145
230.95873,14.354068,STAR,B5 (338529),-0.0007792208,5491,56034,148
231.01762,14.666762,STAR,F8V (G_243-63),0.0003600011,5491,56034,152
231.0212,14.903183,STAR,F3/F5V (30743),-0.0001867137,5491,56034,157
231.08129,14.859049,STAR,F0IV (81937),-0.0006672378,5491,56034,160
230.79812,13.750695,STAR,F0IV (81937),-0.0006315723,5491,56034,162
230.83927,13.727993,STAR,F8V (G_243-63),-0.0002194904,5491,56034,168
230.88194,13.968267,STAR,A5II (34578),-0.0008775067,5491,56034,172
230.88185,14.209755,STAR,CV,-0.001971803,5491,56034,178
230.89747,14.281069,STAR,G4V (32923),-0.0002041967,5491,56034,180
230.71283,14.379523,STAR,F0IV (81937),-0.0009481283,5491,56034,181
230.79305,14.446652,STAR,K3V (32147),-0.0001609253,5491,56034,186
